	GM1	PN1	GM2	A1	A1	GM2	GM3	PN1	GM1	PN1	GM1	GM2	GM2	PN1	PN1	GM1	GM2	GM1	GM3	
137	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
138	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
139	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
140	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
141	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
142	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
143	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
144	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
145	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
146	 	2	 	 	 	6	 	8	 	10	 	 	13	14	15	 	 	 	 	
147	 	2	 	4	5	 	 	8	 	10	 	 	13	 	15	 	 	 	 	
148	 	2	 	4	5	 	 	8	 	10	 	 	13	 	15	 	 	 	 	
149	 	2	 	4	5	 	 	8	 	10	 	 	13	 	15	 	 	 	 	
150	 	2	 	4	5	 	 	8	 	10	 	 	13	 	15	 	 	 	 	
151	 	2	 	4	5	 	 	8	 	10	 	 	13	 	15	 	 	 	 	
152	 	2	 	4	5	 	 	8	 	10	 	 	13	 	15	 	 	 	 	
153	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
154	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
155	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
156	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
157	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
158	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
159	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
160	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
161	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
162	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
163	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
164	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
165	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
166	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
167	 	2	 	4	5	 	 	8	 	10	 	 	13	14	 	 	 	 	 	
168	 	2	 	4	5	 	7	8	 	 	 	 	 	14	 	 	 	 	19	
